name.vec;removal_type;by_removal;n_removal;by_fertility;n_fertility;puma;tasa;Er;Ef;Rm;ext50;Re;Erf;IER;IEM
v2026;fixed;0;0;0;0;with;mean;0;0;0,0175764355824081;0;0;0;NA;Inf
v2026;fixed;0;0;0;0;with;max;0;0;0,00925583117363939;0;0;0;NA;Inf
v2026;fixed;0;0;0;0;without;mean;0;0;0,00355581595996518;0;0;0;NA;Inf
v2026;fixed;0;0;0;0;without;max;0;0;0,00288267512251369;0;0;0;NA;Inf
v2026;fixed;1;25;0;0;with;mean;3,98;0;0,0106989855379969;1;80,468;3,98;20,2180904522613;0,00268818732110474
v2026;fixed;1;25;0;0;with;max;4,68;0;0,0106700810926163;1;76;4,68;16,2393162393162;0,00227993185739665
v2026;fixed;1;25;0;0;without;mean;8;0;0,0102303415355413;1;63,66;8;7,9575;0,00127879269194267
v2026;fixed;1;25;0;0;without;max;23,82;0;0,00712250712250712;0;0;23,82;0;0,000299013733102734
v2026;fixed;1;50;0;0;with;mean;4,36;0;0,0105231300464933;1;86,612;4,36;19,8651376146789;0,0024135619372691
v2026;fixed;1;50;0;0;with;max;4,82;0;0,0105086170659941;1;84;4,82;17,4273858921162;0,00218021100954235
v2026;fixed;1;50;0;0;without;mean;6,42;0;0,0104397191367916;1;82,032;6,42;12,7775700934579;0,00162612447613576
v2026;fixed;1;50;0;0;without;max;7,96;0;0,0103734439834025;1;80;7,96;10,0502512562814;0,00130319648032695
v2026;fixed;1;75;0;0;with;mean;4,52;0;0,010481965785532;1;88,608;4,52;19,6035398230089;0,00231901897910001
v2026;fixed;1;75;0;0;with;max;4,9;0;0,0104624398409709;1;88;4,9;17,9591836734694;0,00213519180427978
v2026;fixed;1;75;0;0;without;mean;6,08;0;0,0104373123163434;1;87,984;6,08;14,4710526315789;0,00171666320992491
v2026;fixed;1;75;0;0;without;max;6,88;0;0,0103626943005181;1;86;6,88;12,5;0,00150620556693578
v2026;fixed;1;100;0;0;with;mean;4,58;0;0,0104344151589705;1;90,088;4,58;19,6698689956332;0,00227825658492806
v2026;fixed;1;100;0;0;with;max;4,9;0;0,0104799832320268;1;90;4,9;18,3673469387755;0,00213877208816874
v2026;fixed;1;100;0;0;without;mean;6,02;0;0,0105361123095576;1;89,988;6,02;14,9481727574751;0,00175018476902949
v2026;fixed;1;100;0;0;without;max;6,64;0;0,0105064089094348;1;90;6,64;13,5542168674699;0,00158229049840885
v2026;fixed;2;25;0;0;with;mean;3,46;0;0,0111341784117214;1;70,156;3,46;20,2763005780347;0,00321797063922584
v2026;fixed;2;25;0;0;with;max;4,46;0;0,0112157918349035;1;62;4,46;13,9013452914798;0,00251475153248958
v2026;fixed;2;25;0;0;without;mean;12,34;0;0,00671742079897164;0,064;0,776;12,34;0,0628849270664506;0,000544361491002564
v2026;fixed;2;25;0;0;without;max;12,5;0;0,00321316110789795;0;0;12,5;0;0,000257052888631836
v2026;fixed;2;50;0;0;with;mean;4,04;0;0,0107448776667215;1;80,064;4,04;19,8178217821782;0,00265962318483206
v2026;fixed;2;50;0;0;with;max;4,72;0;0,0107851596203624;1;76;4,72;16,1016949152542;0,00228499144499203
v2026;fixed;2;50;0;0;without;mean;7,8;0;0,0104923732502613;1;59,34;7,8;7,60769230769231;0,0013451760577258
v2026;fixed;2;50;0;0;without;max;19,64;0;0,00830426839395449;1;10;19,64;0,509164969450102;0,000422824256311329
v2026;fixed;2;75;0;0;with;mean;4,32;0;0,0106784972533072;1;83,552;4,32;19,3407407407407;0,00247187436419149
v2026;fixed;2;75;0;0;with;max;4,84;0;0,0106473594548552;1;80;4,84;16,5289256198347;0,00219986765596182
v2026;fixed;2;75;0;0;without;mean;6,66;0;0,0106975204481427;1;70,912;6,66;10,6474474474474;0,00160623430152293
v2026;fixed;2;75;0;0;without;max;9;0;0,0105909764880322;1;64;9;7,11111111111111;0,00117677516533691
v2026;fixed;2;100;0;0;with;mean;4,44;0;0,0105468898313136;1;85,848;4,44;19,3351351351351;0,00237542563768323
v2026;fixed;2;100;0;0;with;max;4,84;0;0,0106089539571398;1;84;4,84;17,3553719008264;0,00219193263577269
v2026;fixed;2;100;0;0;without;mean;6,28;0;0,0107166468641207;1;74,82;6,28;11,9140127388535;0,00170647243059246
v2026;fixed;2;100;0;0;without;max;7,56;0;0,0107781849536538;1;72;7,56;9,52380952380952;0,0014256858404304
v2026;fixed;5;25;0;0;with;mean;2,62;0;0,0122363841963949;1;48,144;2,62;18,375572519084;0,00467037564747897
v2026;fixed;5;25;0;0;with;max;4;0;0,0130718954248366;1;22;4;5,5;0,00326797385620915
v2026;fixed;5;25;0;0;without;mean;5;0;0,00393546315522736;0;0;5;0;0,000787092631045473
v2026;fixed;5;25;0;0;without;max;5;0;0,0029956263854772;0;0;5;0;0,000599125277095441
v2026;fixed;5;50;0;0;with;mean;3,42;0;0,0114980217593141;1;64,716;3,42;18,9228070175439;0,00336199466646611
v2026;fixed;5;50;0;0;with;max;4,36;0;0,0117150890346767;1;54;4,36;12,3853211009174;0,00268694702630199
v2026;fixed;5;50;0;0;without;mean;10;0;0,00519631584012461;0;0;10;0;0,000519631584012461
v2026;fixed;5;50;0;0;without;max;10;0;0,00320163923929052;0;0;10;0;0,000320163923929052
v2026;fixed;5;75;0;0;with;mean;3,82;0;0,011180435959063;1;71,888;3,82;18,8188481675393;0,00292681569608978
v2026;fixed;5;75;0;0;with;max;4,72;0;0,0113071008593397;1;64;4,72;13,5593220338983;0,00239557221596179
v2026;fixed;5;75;0;0;without;mean;10,92;0;0,0106419785668345;0,75;12,516;10,92;1,14615384615385;0,00097454016179803
v2026;fixed;5;75;0;0;without;max;15;0;0,00355239786856128;0;0;15;0;0,000236826524570752
v2026;fixed;5;100;0;0;with;mean;4,16;0;0,0108878081650236;1;76,268;4,16;18,3336538461538;0,00261726157813066
