name.vec;removal_type;by_removal;n_removal;by_fertility;n_fertility;puma;tasa;recovery;sd
v2026;fixed;50;25;0;0;with;mean;NA;NA
v2026;fixed;50;25;0;0;with;max;NA;NA
v2026;fixed;50;25;0;0;without;mean;5,074;2,24200293360839
v2026;fixed;50;25;0;0;without;max;3;0
v2026;fixed;50;50;0;0;with;mean;NA;NA
v2026;fixed;50;50;0;0;with;max;NA;NA
v2026;fixed;50;50;0;0;without;mean;7,164;2,36818931702737
v2026;fixed;50;50;0;0;without;max;4;0
v2026;fixed;50;75;0;0;with;mean;NA;NA
v2026;fixed;50;75;0;0;with;max;NA;NA
v2026;fixed;50;75;0;0;without;mean;9,848;2,66441254095096
v2026;fixed;50;75;0;0;without;max;5;0
v2026;fixed;50;100;0;0;with;mean;NA;NA
v2026;fixed;50;100;0;0;with;max;NA;NA
v2026;fixed;50;100;0;0;without;mean;12,024;2,85442103391874
v2026;fixed;50;100;0;0;without;max;7;0
v2026;fixed;0;0;50;25;with;mean;NA;NA
v2026;fixed;0;0;50;25;with;max;NA;NA
v2026;fixed;0;0;50;25;without;mean;3,842;1,56266434005495
v2026;fixed;0;0;50;25;without;max;3;0
v2026;fixed;0;0;50;50;with;mean;NA;NA
v2026;fixed;0;0;50;50;with;max;NA;NA
v2026;fixed;0;0;50;50;without;mean;4,34;2,11597606541729
v2026;fixed;0;0;50;50;without;max;3;0
v2026;fixed;0;0;50;75;with;mean;NA;NA
v2026;fixed;0;0;50;75;with;max;NA;NA
v2026;fixed;0;0;50;75;without;mean;4,424;1,75110157141922
v2026;fixed;0;0;50;75;without;max;3;0
v2026;fixed;0;0;50;100;with;mean;NA;NA
v2026;fixed;0;0;50;100;with;max;NA;NA
v2026;fixed;0;0;50;100;without;mean;4,644;1,81765556238991
v2026;fixed;0;0;50;100;without;max;3;0
v2026;fixed;50;12;50;12;with;mean;NA;NA
v2026;fixed;50;12;50;12;with;max;NA;NA
v2026;fixed;50;12;50;12;without;mean;4,152;1,59812515405272
v2026;fixed;50;12;50;12;without;max;3;0
v2026;fixed;50;25;50;25;with;mean;NA;NA
v2026;fixed;50;25;50;25;with;max;NA;NA
v2026;fixed;50;25;50;25;without;mean;5,246;2,06737322806702
v2026;fixed;50;25;50;25;without;max;3;0
v2026;fixed;50;37;50;37;with;mean;NA;NA
v2026;fixed;50;37;50;37;with;max;NA;NA
v2026;fixed;50;37;50;37;without;mean;6,666;2,46304225589181
v2026;fixed;50;37;50;37;without;max;4;0
v2026;fixed;50;50;50;50;with;mean;NA;NA
v2026;fixed;50;50;50;50;with;max;NA;NA
v2026;fixed;50;50;50;50;without;mean;8,06;2,54742590815023
v2026;fixed;50;50;50;50;without;max;5;0
v2026;proportional;50;25;0;0;with;mean;NA;NA
v2026;proportional;50;25;0;0;with;max;NA;NA
v2026;proportional;50;25;0;0;without;mean;4,87;2,21425062077969
v2026;proportional;50;25;0;0;without;max;3;0
v2026;proportional;50;50;0;0;with;mean;NA;NA
v2026;proportional;50;50;0;0;with;max;NA;NA
v2026;proportional;50;50;0;0;without;mean;6,684;2,35355527763632
v2026;proportional;50;50;0;0;without;max;4;0
v2026;proportional;50;75;0;0;with;mean;NA;NA
v2026;proportional;50;75;0;0;with;max;NA;NA
v2026;proportional;50;75;0;0;without;mean;8,966;2,64477478574919
v2026;proportional;50;75;0;0;without;max;5;0
v2026;proportional;50;100;0;0;with;mean;NA;NA
v2026;proportional;50;100;0;0;with;max;NA;NA
v2026;proportional;50;100;0;0;without;mean;11,042;2,97083957418624
v2026;proportional;50;100;0;0;without;max;6;0
v2026;proportional;0;0;50;25;with;mean;NA;NA
v2026;proportional;0;0;50;25;with;max;NA;NA
v2026;proportional;0;0;50;25;without;mean;3,848;1,60812565935394
v2026;proportional;0;0;50;25;without;max;3;0
v2026;proportional;0;0;50;50;with;mean;NA;NA
v2026;proportional;0;0;50;50;with;max;NA;NA
v2026;proportional;0;0;50;50;without;mean;4,014;1,63558989622009
v2026;proportional;0;0;50;50;without;max;3;0
v2026;proportional;0;0;50;75;with;mean;NA;NA
v2026;proportional;0;0;50;75;with;max;NA;NA
v2026;proportional;0;0;50;75;without;mean;4,342;1,65726553639308
v2026;proportional;0;0;50;75;without;max;3;0
v2026;proportional;0;0;50;100;with;mean;NA;NA
v2026;proportional;0;0;50;100;with;max;NA;NA
v2026;proportional;0;0;50;100;without;mean;4,7;2,11540773842765
v2026;proportional;0;0;50;100;without;max;3;0
v2026;proportional;50;12;50;12;with;mean;NA;NA
v2026;proportional;50;12;50;12;with;max;NA;NA
v2026;proportional;50;12;50;12;without;mean;4,26;1,80413686277934
v2026;proportional;50;12;50;12;without;max;3;0
v2026;proportional;50;25;50;25;with;mean;NA;NA
v2026;proportional;50;25;50;25;with;max;NA;NA
v2026;proportional;50;25;50;25;without;mean;5,336;2,15601502814874
v2026;proportional;50;25;50;25;without;max;3;0
v2026;proportional;50;37;50;37;with;mean;NA;NA
v2026;proportional;50;37;50;37;with;max;NA;NA
v2026;proportional;50;37;50;37;without;mean;6,468;2,48219632527211
v2026;proportional;50;37;50;37;without;max;4;0
v2026;proportional;50;50;50;50;with;mean;NA;NA
v2026;proportional;50;50;50;50;with;max;NA;NA
v2026;proportional;50;50;50;50;without;mean;7,898;2,67692507472873
v2026;proportional;50;50;50;50;without;max;4;0
vlowdensity;fixed;50;25;0;0;with;mean;NA;NA
vlowdensity;fixed;50;25;0;0;with;max;NA;NA
vlowdensity;fixed;50;25;0;0;without;mean;7,438;1,78227635849104
vlowdensity;fixed;50;25;0;0;without;max;4;0
vlowdensity;fixed;50;50;0;0;with;mean;NA;NA
vlowdensity;fixed;50;50;0;0;with;max;NA;NA
vlowdensity;fixed;50;50;0;0;without;mean;19,394;4,04022410537377
vlowdensity;fixed;50;50;0;0;without;max;9;0
vlowdensity;fixed;50;75;0;0;with;mean;NA;NA
