name.vec;alternative;by_removal;n_removal;by_fertility;n_fertility;predation;rate;Er;Ef;Rm;ext50;Re;Erf;ETI;MTI
v2026;f;0;0;1;25;With predation;Max;0;24,5;0,0120510966497951;0;0;24,5;0;0,00103993235116137
v2026;f;0;0;1;25;With predation;Mean;0;23,9;0,0168512348101641;0;0;23,9;0;0,00154407331860094
v2026;f;0;0;1;25;Without predation;Max;0;24,5;0,00310655483069276;0;0;24,5;0;0,000268075757997423
v2026;f;0;0;1;25;Without predation;Mean;0;24,5;0,00399769447539331;0;0;24,5;0;0,000344975394010408
v2026;f;0;0;1;50;With predation;Max;0;49;0,0157728706624606;0;0;49;0;0,000117453991654958
v2026;f;0;0;1;50;With predation;Mean;0;43,46;0,0168516701152092;0;0;43,46;0;0,000218373095569578
v2026;f;0;0;1;50;Without predation;Max;0;49;0,00341903719912473;0;0;49;0;2,54601445258628E-05
v2026;f;0;0;1;50;Without predation;Mean;0;49;0,0047487596984841;0;0;49;0;3,53620335786195E-05
v2026;f;0;0;1;75;With predation;Max;0;68,76;0,0168976005407232;0;0;68,76;0;1,74427992140188E-05
v2026;f;0;0;1;75;With predation;Mean;0;61,38;0,0176009423266384;0;0;61,38;0;3,80046196045847E-05
v2026;f;0;0;1;75;Without predation;Max;0;73,5;0,00382467681480915;0;0;73,5;0;2,45770810202539E-06
v2026;f;0;0;1;75;Without predation;Mean;0;73,5;0,00720919025419703;0;0;73,5;0;4,63257058169675E-06
v2026;f;0;0;1;100;With predation;Max;0;79,46;0,0181554103122731;0;0;79,46;0;6,42838849581665E-06
v2026;f;0;0;1;100;With predation;Mean;0;69,38;0,0190119422512394;0;0;69,38;0;1,84455398781217E-05
v2026;f;0;0;1;100;Without predation;Max;0;98;0,00469175190015952;0;0;98;0;2,60165147002801E-07
v2026;f;0;0;1;100;Without predation;Mean;0;71,3;0,0116710510378202;0;0;71,3;0;9,34523683839455E-06
v2026;f;0;0;2;25;With predation;Max;0;12,5;0,0106179655977915;0;0;12,5;0;0,00304209807666374
v2026;f;0;0;2;25;With predation;Mean;0;12,48;0,0172344138103696;0;0;12,48;0;0,00494762759427129
v2026;f;0;0;2;25;Without predation;Max;0;12,5;0,00297565910849253;0;0;12,5;0;0,000852540608403827
v2026;f;0;0;2;25;Without predation;Mean;0;12,5;0,00375490306173373;0;0;12,5;0;0,00107579773893173
v2026;f;0;0;2;50;With predation;Max;0;25;0,0118119536971415;0;0;25;0;0,000969584202975416
v2026;f;0;0;2;50;With predation;Mean;0;21,72;0,0172421561724519;0;0;21,72;0;0,0019647349002837
v2026;f;0;0;2;50;Without predation;Max;0;25;0,00310674785634398;0;0;25;0;0,000255017393512796
v2026;f;0;0;2;50;Without predation;Mean;0;25;0,00399862323973219;0;0;25;0;0,000328226983130907
v2026;f;0;0;2;75;With predation;Max;0;37,5;0,0141362736782584;0;0;37,5;0;0,000332453291716272
v2026;f;0;0;2;75;With predation;Mean;0;31,4;0,0177056020845494;0;0;31,4;0;0,000766347996758178
v2026;f;0;0;2;75;Without predation;Max;0;37,5;0,00325034128583501;0;0;37,5;0;7,64407003055616E-05
v2026;f;0;0;2;75;Without predation;Mean;0;37,5;0,00433085772724155;0;0;37,5;0;0,0001018520113678
v2026;f;0;0;2;100;With predation;Max;0;47,28;0,0158127767235927;0;0;47,28;0;0,000139850437168292
v2026;f;0;0;2;100;With predation;Mean;0;34,4;0,0185293357558236;0;0;34,4;0;0,000594137320344763
v2026;f;0;0;2;100;Without predation;Max;0;50;0,00342935528120713;0;0;50;0;2,31068141258075E-05
v2026;f;0;0;2;100;Without predation;Mean;0;50;0,00481907049460469;0;0;50;0;3,2470641577503E-05
v2026;f;0;0;5;25;With predation;Max;0;5;0,0099009900990099;0;0;5;0;0,00600525405656073
v2026;f;0;0;5;25;With predation;Mean;0;5;0,0175247161534456;0;0;5;0;0,010629277649826
v2026;f;0;0;5;25;Without predation;Max;0;5;0,0029125648045669;0;0;5;0;0,00176655985236976
v2026;f;0;0;5;25;Without predation;Mean;0;5;0,00365057666887279;0;0;5;0;0,00221418667530296
v2026;f;0;0;5;50;With predation;Max;0;10;0,0102124183006536;0;0;10;0;0,00375693873745346
v2026;f;0;0;5;50;With predation;Mean;0;8,64;0,017533887473974;0;0;8,64;0;0,00739005690762003
v2026;f;0;0;5;50;Without predation;Max;0;10;0,0029605068387708;0;0;10;0;0,00108910960143124
v2026;f;0;0;5;50;Without predation;Mean;0;10;0,00372229948818875;0;0;10;0;0,00136935745558762
v2026;f;0;0;5;75;With predation;Max;0;15;0,0105130361648444;0;0;15;0;0,00234577544310797
v2026;f;0;0;5;75;With predation;Mean;0;12,5;0,0177474725162087;0;0;12,5;0;0,00508473600803818
v2026;f;0;0;5;75;Without predation;Max;0;15;0,00302041802585478;0;0;15;0;0,000673946357824181
v2026;f;0;0;5;75;Without predation;Mean;0;15;0,00380615765011654;0;0;15;0;0,000849268566020675
v2026;f;0;0;5;100;With predation;Max;0;20;0,0110963160230803;0;0;20;0;0,00150172307186654
v2026;f;0;0;5;100;With predation;Mean;0;15,42;0,0180991108570097;0;0;15,42;0;0,00387235486077772
v2026;f;0;0;5;100;Without predation;Max;0;20;0,00306842589751458;0;0;20;0;0,000415266287930693
v2026;f;0;0;5;100;Without predation;Mean;0;20;0,00393670396591807;0;0;20;0;0,000532774946246219
v2026;n;0;0;0;0;With predation;Max;0;0;0,00925583117363939;0;0;0;0;0,00925583117363939
v2026;n;0;0;0;0;With predation;Mean;0;0;0,0175764355824081;0;0;0;0;0,0175764355824081
v2026;n;0;0;0;0;Without predation;Max;0;0;0,00288267512251369;0;0;0;0;0,00288267512251369
v2026;n;0;0;0;0;Without predation;Mean;0;0;0,00355581595996518;0;0;0;0;0,00355581595996518
v2026;rf;1;25;0;0;With predation;Max;4,68;0;0,0106700810926163;1;76;4,68;47,5952677979743;0,00668217588196282
v2026;rf;1;25;0;0;With predation;Mean;3,98;0;0,0106989855379969;1;80,468;3,98;54,0473000419066;0,00718610232037752
v2026;rf;1;25;0;0;Without predation;Max;23,82;0;0,00712250712250712;0;0;23,82;0;0,00065787508072036
v2026;rf;1;25;0;0;Without predation;Mean;8;0;0,0102303415355413;1;63,66;8;28,6042818557023;0,00459678876473016
v2026;rf;1;50;0;0;With predation;Max;4,82;0;0,0105086170659941;1;84;4,82;51,8739531882331;0,00648956559231483
v2026;rf;1;50;0;0;With predation;Mean;4,36;0;0,0105231300464933;1;86,612;4,36;56,0048544787203;0,0068044424203864
v2026;rf;1;50;0;0;Without predation;Max;7,96;0;0,0103734439834025;1;80;7,96;36,0903903522434;0,00467977053322659
v2026;rf;1;50;0;0;Without predation;Mean;6,42;0;0,0104397191367916;1;82,032;6,42;43,1684288769011;0,00549378624258109
v2026;rf;1;75;0;0;With predation;Max;4,9;0;0,0104624398409709;1;88;4,9;53,9111226882286;0,00640956679414538
v2026;rf;1;75;0;0;With predation;Mean;4,52;0;0,010481965785532;1;88,608;4,52;56,3860702710005;0,00667024263453899
v2026;rf;1;75;0;0;Without predation;Max;6,88;0;0,0103626943005181;1;86;6,88;43,2218993521868;0,00520808523342411
v2026;rf;1;75;0;0;Without predation;Mean;6,08;0;0,0104373123163434;1;87,984;6,08;47,9018909065193;0,00568247631313366
v2026;rf;1;100;0;0;With predation;Max;4,9;0;0,0104799832320268;1;90;4,9;55,1363754765974;0,00642031433854972
v2026;rf;1;100;0;0;With predation;Mean;4,58;0;0,0104344151589705;1;90,088;4,58;56,984937036569;0,00660026297450665
v2026;rf;1;100;0;0;Without predation;Max;6,64;0;0,0105064089094348;1;90;6,64;46,3309252611153;0,00540857384384155
v2026;rf;1;100;0;0;Without predation;Mean;6,02;0;0,0105361123095576;1;89,988;6,02;49,2877872929189;0,0057707879095855
